execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,9,"[1.0,1]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,479,"[1.0,1]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,46,"[2.5,1][1.0,5]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,57,"[1.0,1]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,64,"[1.0,1]"
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,72,"[1.0,1]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,195,"[2.5,1][1.0,6]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,1005,"[2.5,1][1.0,19]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,127,"[2.5,1][1.0,8]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,220,"[1.5,1][1.0,8]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,1355,"[1.0,1]"
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,404,"[1.0,1]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,233,"[1.5,1][1.0,12]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,84,"[1.0,1]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,136,"[1.0,1]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,82,"[1.0,1]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,170,"[2.5,1][1.0,6]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,47,"[2.5,1][1.5,5][1.0,13]"
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,630,"[3.0,1][1.0,2]"
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,36,"[3.0,1][1.0,3]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,12,"[3.0,1][1.0,2]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,239,"[1.0,1]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,289,"[3.0,1][1.0,3]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,190,"[3.0,1][1.5,2][1.0,4]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,18,"[3.0,1][1.0,3]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,208,"[1.0,1]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,14,"[1.0,1]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,18,"[1.0,1]"
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,273,"[3.0,1][1.5,2][1.0,5]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,224,"[1.0,1]"
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,16,"[3.0,1][1.0,4]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,311,"[1.0,1]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,1394,"[3.0,1][1.0,2]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,352,"[1.0,1]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,139,"[1.5,1][1.0,2]"
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,105,"[3.0,1][1.0,7]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,1010,"[1.0,1]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,630,"[3.0,1][1.0,2]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,104,"[1.0,1]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,156,"[1.0,1]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,748,"[1.0,1]"
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,307,"[3.0,1][1.0,2]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,172,"[1.5,1][1.0,5]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,121,"[1.5,1][1.0,2]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,54,"[3.0,1][1.0,3]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,20,"[1.0,1]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,1482,"[1.0,1]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,50,"[1.5,1][1.0,2]"
