execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,214,"[1.0,1]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,359,"[1.0,1]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,633,"[2.5,1][1.0,3]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,34,"[1.0,1]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,174,"[2.5,1][1.0,20]"
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,416,"[1.0,1]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,650,"[1.0,1]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,101,"[1.0,1]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,417,"[1.0,1]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,195,"[1.0,1]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,159,"[1.0,1]"
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,2.5,39,"[2.5,1]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,9,"[2.5,1][1.0,4]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,153,"[2.5,1][1.0,29]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,46,"[1.0,1]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,621,"[2.5,1][1.0,92]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,1794,"[1.0,1]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,2,62328,1.0,527,"[1.0,1]"
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,298,"[3.0,1][1.0,2]"
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,614,"[3.0,1][1.0,2]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,233,"[3.0,1][1.0,3]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,114,"[1.5,1][1.0,3]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,25,"[1.0,1]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,232,"[1.0,1]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,289,"[1.0,1]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,217,"[1.5,1][1.0,3]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,70,"[1.0,1]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,263,"[1.0,1]"
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,20,"[1.0,1]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,54,"[3.0,1][1.0,2]"
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,83,"[1.5,1][1.0,2]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,635,"[1.0,1]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,43,"[3.0,1][1.0,2]"
16,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,285,"[3.0,1][1.0,3]"
17,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,446,"[1.0,1]"
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,428,"[1.0,1]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,14,"[3.0,1][1.0,2]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,75,"[3.0,1][1.0,2]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,55,"[3.0,1][1.0,5]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,22,"[3.0,1][1.5,2][1.0,3]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,51,"[3.0,1][1.0,3]"
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,458,"[1.5,1][1.0,4]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,341,"[1.0,1]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,152,"[1.0,1]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,413,"[1.0,1]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,18,"[3.0,1][1.0,3]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,19,"[1.0,1]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,3,62328,1.0,461,"[3.0,1][2.0,2][1.0,3]"
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,16,62328,8.75,11359,"[13.8,1][13.714285714285715,2][12.818181818181818,98][11.882352941176471,343][8.8,346][8.75,352]"
