execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,covered_goals,covered_goals_evolution
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1299,"[3.333333333333333,1][1.6666666666666665,2][1.3333333333333333,4]",12/28,"[0/28,1][10/28,2][11/28,18][12/28,607]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1301,"[1.8333333333333335,1][1.6,5][1.3333333333333333,9]",12/28,"[0/28,1][5/28,2][10/28,3][12/28,115]"
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1105,"[3.333333333333333,1][1.8333333333333335,2][1.6666666666666665,4][1.3333333333333333,7]",12/28,"[0/28,1][7/28,2][9/28,3][10/28,13][11/28,32][12/28,83]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1300,"[1.8333333333333335,1][1.3333333333333333,10]",12/28,"[0/28,1][8/28,2][9/28,5][10/28,18][11/28,184][12/28,329]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1354,"[1.8333333333333335,1][1.6666666666666665,3][1.6,7][1.3333333333333333,14]",12/28,"[0/28,1][5/28,2][10/28,3][11/28,30][12/28,334]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1411,"[1.6,1][1.3333333333333333,26]",12/28,"[0/28,1][10/28,2][12/28,90]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1654,"[1.8333333333333335,1][1.6666666666666665,4][1.6,6][1.3333333333333333,9]",12/28,"[0/28,1][5/28,2][9/28,3][10/28,5][11/28,35][12/28,155]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1099,"[3.333333333333333,1][1.6666666666666665,2][1.6,3][1.3333333333333333,7]",12/28,"[0/28,1][9/28,2][10/28,3][12/28,5]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1248,"[1.8333333333333335,1][1.6666666666666665,3][1.3333333333333333,4]",12/28,"[0/28,1][10/28,2][12/28,6]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1411,"[1.8333333333333335,1][1.6,4][1.3333333333333333,8]",12/28,"[0/28,1][5/28,2][8/28,3][10/28,4][11/28,7][12/28,183]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,1217,"[1.6666666666666665,1][1.3333333333333333,3]",12/28,"[5/28,1][6/28,2][10/28,4][11/28,382][12/28,492]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,3,62328,1.3333333333333300,953,"[1.8333333333333335,1][1.3333333333333333,2]",11/28,"[0/28,1][9/28,2][10/28,3][11/28,24]"
